OCC_CODE,OCC_TITLE,TOT_EMP,JOBS_1000,H_MEAN,A_MEAN,A_MEDIAN
00-0000,All Occupations,140886310.00,,28.01,58260.00,45760.00
11-0000,Management Occupations,8909910.00,,59.31,123370.00,102450.00
11-1000,Top Executives,3229990.00,,57.94,120520.00,98720.00
11-1010,Chief Executives,200480.00,,102.41,213020.00,179520.00
11-1011,Chief Executives,200480.00,,102.41,213020.00,179520.00
11-1020,General and Operations Managers,2984920.00,,55.41,115250.00,97970.00
11-1021,General and Operations Managers,2984920.00,,55.41,115250.00,97970.00
11-1030,Legislators,44590.00,,*,57110.00,37270.00
11-1031,Legislators,44590.00,,*,57110.00,37270.00
11-2000,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",838050.00,,69.77,145130.00,128160.00
11-2010,Advertising and Promotions Managers,22520.00,,68.68,142860.00,127150.00
11-2011,Advertising and Promotions Managers,22520.00,,68.68,142860.00,127150.00
11-2020,Marketing and Sales Managers,732490.00,,70.48,146600.00,129330.00
11-2021,Marketing Managers,278690.00,,73.77,153440.00,135030.00
11-2022,Sales Managers,453800.00,,68.46,142390.00,127490.00
11-2030,Public Relations and Fundraising Managers,83040.00,,63.85,132800.00,119860.00
11-2032,Public Relations Managers,59850.00,,66.35,138000.00,125780.00
11-2033,Fundraising Managers,23190.00,,57.40,119400.00,100810.00
11-3000,Operations Specialties Managers,2116020.00,,67.26,139900.00,127140.00
11-3010,Administrative Services and Facilities Managers,325850.00,,52.69,109590.00,99290.00
11-3012,Administrative Services Managers,224620.00,,54.34,113030.00,100170.00
11-3013,Facilities Managers,101230.00,,49.03,101970.00,97930.00
11-3020,Computer and Information Systems Managers,485190.00,,78.33,162930.00,159010.00
11-3021,Computer and Information Systems Managers,485190.00,,78.33,162930.00,159010.00
11-3030,Financial Managers,681070.00,,73.78,153460.00,131710.00
11-3031,Financial Managers,681070.00,,73.78,153460.00,131710.00
11-3050,Industrial Production Managers,192270.00,,56.62,117780.00,103150.00
11-3051,Industrial Production Managers,192270.00,,56.62,117780.00,103150.00
11-3060,Purchasing Managers,69310.00,,64.71,134590.00,127150.00
11-3061,Purchasing Managers,69310.00,,64.71,134590.00,127150.00
11-3070,"Transportation, Storage, and Distribution Managers",144640.00,,50.76,105580.00,98230.00
